rot_diff,rmsd
5.34981,5.97355
5.06681,5.15705
4.7518,4.38564
4.41436,3.71792
4.43806,3.58283
4.72956,3.44265
5.07786,3.61544
5.39954,4.05687
5.68481,4.68075
5.92504,5.40923
6.11292,6.18756
6.24275,6.97955
6.31059,7.76065
6.31439,8.51335
6.55105,9.22446
6.76221,9.8836
6.89561,10.4823
6.94721,11.0137
6.91544,11.472
6.80126,11.8524
6.60814,12.1513
6.37423,12.3657
6.1026,12.4936
6.38486,12.5337
6.67922,12.4858
6.89834,12.3502
7.03558,12.1282
7.08677,11.822
7.05036,11.4345
6.92745,10.9696
6.72178,10.432
6.43959,9.8276
6.38335,9.1635
6.30986,8.44826
6.17235,7.69246
5.97499,6.90961
5.72377,6.11771
5.42633,5.34211
5.09169,4.62036
4.76214,4.00915
4.74677,3.90716
5.05002,3.80399
5.4102,3.97849
5.73828,4.39304
6.02432,4.97757
6.25962,5.66519
6.43706,6.40556
6.55124,7.16348
6.59869,7.91421
6.57798,8.63977
6.75082,9.3265
6.91806,9.96364
7.00745,10.5425
7.01626,11.0559
6.94423,11.498
6.79356,11.8641
6.5688,12.1502
6.30745,12.3536
6.07507,12.4722
6.38143,12.5049
6.70967,12.4512
6.96639,12.3118
7.1438,12.0881
7.2365,11.7822
7.24168,11.3972
7.15918,10.9372
6.99152,10.4073
6.74377,9.81353
6.68157,9.16344
6.61888,8.46617
6.48743,7.73308
6.29119,6.97873
6.03613,6.22249
5.72999,5.49122
5.38206,4.82341
5.03286,4.27359
4.98983,4.20723
5.28742,4.14995
5.65679,4.34053
5.98998,4.74405
6.27688,5.30172
6.50877,5.95624
6.67863,6.66244
6.78129,7.38725
6.81364,8.10667
6.7747,8.8028
6.87193,9.46193
6.99404,10.0732
7.03937,10.6278
7.00656,11.1185
6.8966,11.5395
6.71283,11.8859
6.46083,12.1542
6.17622,12.3413
5.99749,12.4453
6.3104,12.4653
6.66643,12.401
6.95564,12.2531
7.16926,12.023
7.30079,11.7132
7.34624,11.327
7.30425,10.8686
7.17607,10.3435
6.96561,9.75812
6.88277,9.12047
6.82726,8.44036
6.70004,7.73003
6.50499,7.00522
6.24802,6.2867
5.93693,5.60287
5.58116,4.99283
5.2183,4.50859
5.16768,4.47965
5.43455,4.47476
5.81016,4.69205
6.14699,5.09729
6.43482,5.63953
6.66492,6.26931
6.83029,6.94655
6.92592,7.64092
6.94891,8.32971
6.89856,8.99566
6.91071,9.62532
6.98783,10.208
6.99042,10.735
6.91841,11.1992
6.77399,11.5949
6.56153,11.9173
6.28749,12.1629
5.98453,12.3289
5.88547,12.4137
6.17395,12.4162
6.55081,12.3365
6.86641,12.1753
7.11118,11.9345
7.27769,11.6167
7.36089,11.2254
7.35824,10.7652
7.26984,10.2419
7.09836,9.66237
6.98085,9.03529
6.92865,8.37121
6.80374,7.68337
6.60989,6.98875
6.353,6.30968
6.04086,5.67596
5.68295,5.12703
5.31283,4.7119
5.26271,4.72162
5.48694,4.77383
5.86564,5.02567
6.20454,5.44264
6.49336,5.9793
6.72331,6.59245
6.88744,7.2466
6.98074,7.91429
7.0004,8.57446
6.94581,9.2108
6.86598,9.81045
6.89962,10.3631
6.86208,10.8603
6.75448,11.2952
6.58011,11.6623
6.34425,11.9571
6.05405,12.1762
5.7382,12.3171
5.72745,12.3782
5.97621,12.3589
6.3663,12.2594
6.7014,12.0807
6.97133,11.8249
7.16791,11.495
7.28516,11.0947
7.31953,10.6291
7.26997,10.1044
7.13799,9.52803
6.97283,8.90934
6.92,8.25978
6.79536,7.59371
6.60271,6.92953
6.34789,6.29116
6.03864,5.70976
5.68434,5.22478
5.31357,4.88165
5.27206,4.93075
5.49432,5.04342
5.82156,5.33552
6.1609,5.77195
6.45071,6.31124
6.68219,6.91513
6.84833,7.55215
6.94408,8.19753
6.96653,8.83201
6.91501,9.44042
6.79106,10.0107
6.7321,10.533
6.65824,10.9994
6.51976,11.4033
6.32086,11.7396
6.06758,12.0041
5.76761,12.1936
5.44471,12.306
5.52824,12.3399
5.77581,12.295
6.11853,12.1718
6.46563,11.9717
6.75396,11.697
6.97477,11.351
7.12136,10.9379
7.18927,10.4633
7.17646,9.93381
7.0833,9.35761
6.91262,8.74478
6.80155,8.10779
6.67517,7.46231
6.48367,6.82828
6.23285,6.23135
5.93033,5.70397
5.58529,5.2852
5.22051,5.01632
5.19544,5.10508
5.46427,5.28043
5.70257,5.61687
6.01737,6.0786
6.30816,6.62718
6.5428,7.22828
6.71417,7.8538
6.81706,8.48148
6.84835,9.09379
6.80709,9.67676
6.69454,10.2192
6.5141,10.7119
6.3851,11.1475
6.22136,11.5199
6.00411,11.8243
5.73993,12.0568
5.43684,12.2147
5.11297,12.2961
5.29388,12.3
5.58361,12.2264
5.83919,12.0763
6.16625,11.8512
6.46566,11.554
6.70414,11.1883
6.87446,10.7588
6.97144,10.2715
6.99215,9.73377
6.93594,9.15444
6.80454,8.54453
6.60191,7.91767
6.44682,7.29101
6.25638,6.68626
6.01137,6.13089
5.71922,5.65864
5.3888,5.30774
5.03646,5.11473
5.03517,5.24302
5.34951,5.48232
5.63331,5.86584
5.87796,6.3572
6.07603,6.92035
6.30938,7.52415
6.48902,8.14334
6.60353,8.75787
6.64944,9.35182
6.62534,9.91243
6.53198,10.4294
6.37218,10.8942
6.1508,11.3
5.87456,11.6413
5.63947,11.9136
5.37124,12.1135
5.07181,12.2387
4.75305,12.2876
5.03149,12.2596
5.35897,12.1552
5.65562,11.9755
5.91244,11.7226
6.12163,11.3998
6.36425,11.0111
6.55197,10.5618
6.67265,10.0583
6.72263,9.50868
6.7004,8.92268
6.60663,8.31234
6.44417,7.69262
6.21794,7.08235
5.93481,6.50526
5.69017,5.99089
5.41172,5.57419
5.10085,5.2922
4.76703,5.17601
4.79612,5.34333
5.1535,5.647
5.48159,6.07927
5.77041,6.60333
6.01122,7.18514
6.19668,7.7962
6.32119,8.41366
6.38094,9.01938
6.37583,9.5989
6.37527,10.1406
6.30833,10.6349
6.17702,11.0742
5.98534,11.4521
5.73911,11.7636
5.44579,12.0047
5.1143,12.1725
4.75469,12.2648
4.37943,12.2808
4.74904,12.22
5.1087,12.0834
5.44042,11.8724
5.73413,11.5897
5.98091,11.2388
6.17326,10.8243
6.30536,10.352
6.37318,9.82889
6.3761,9.26381
6.38383,8.66739
6.32491,8.05283
6.20114,7.43664
6.01627,6.83957
5.77591,6.2877
5.48736,5.81291
5.15938,5.45146
4.80191,5.23872
4.42671,5.19964
5.09121,5.40511
5.4022,5.77285
5.68102,6.25462
5.9286,6.81341
6.21217,7.41695
6.43898,8.03899
6.60214,8.65872
6.69671,9.25965
6.7198,9.82861
6.67072,10.355
6.55096,10.83
6.36416,11.2467
6.12476,11.5993
5.91601,11.8832
5.65948,12.0949
5.36296,12.2319
5.03545,12.2924
4.74984,12.2759
5.06151,12.1825
5.36121,12.0132
5.62997,11.7702
5.86818,11.4564
6.14505,11.0757
6.3672,10.6332
6.52787,10.1352
6.62219,9.58939
6.64729,9.0053
6.60242,8.39453
6.48894,7.77156
6.31029,7.15461
6.08021,6.56668
5.88259,6.03661
5.63821,5.59905
5.35449,5.29167
5.04004,5.14778
4.76384,5.18542
5.38089,5.42784
5.7115,5.85864
6.00406,6.38987
6.24969,6.98456
6.44095,7.61205
6.5985,8.24803
6.80178,8.87345
6.93392,9.47324
6.99091,10.0354
6.97103,10.5501
6.87486,11.0095
6.70533,11.407
6.4676,11.7374
6.16886,11.9967
5.84386,12.1815
5.5883,12.2899
5.29844,12.3205
5.1106,12.2731
5.42744,12.148
5.73084,11.9469
5.9956,11.672
6.21369,11.3267
6.37848,10.9154
6.5102,10.4434
6.69157,9.91774
6.80514,9.34658
6.84747,8.74013
6.81726,8.11104
6.71543,7.47512
6.54508,6.85245
6.31138,6.26864
6.02141,5.75578
5.70879,5.35191
5.47057,5.09644
5.20162,5.0202
5.03412,5.13347
5.57925,5.4113
5.92457,5.90355
6.22756,6.48353
6.47903,7.11455
6.67135,7.76746
6.79867,8.41968
6.91174,9.05369
7.0831,9.65566
7.17697,10.2145
7.19049,10.7213
7.12327,11.1687
6.97734,11.5508
6.75712,11.8626
6.46931,12.1006
6.12264,12.262
5.78119,12.3449
5.53338,12.3484
5.44337,12.2724
5.75926,12.1179
6.05958,11.8865
6.31346,11.5809
6.51322,11.2049
6.65277,10.763
6.72789,10.2611
6.7892,9.70645
6.9142,9.10784
6.96683,8.47614
6.9455,7.82487
6.85084,7.1712
6.68573,6.53721
6.45519,5.95141
6.16621,5.44983
5.82756,5.07473
5.5018,4.86784
5.27944,4.85715
5.21908,5.04423
5.68027,5.35565
6.03495,5.90716
6.34474,6.5346
6.60025,7.20175
6.79371,7.88094
6.91925,8.55113
6.97307,9.19614
7.1397,9.80323
7.2723,10.3622
7.32246,10.8646
7.28866,11.3039
7.17191,11.6743
6.97577,11.9716
6.70619,12.1923
6.37134,12.334
5.9814,12.3951
5.73313,12.375
5.73805,12.2739
6.0469,12.0929
6.33744,11.8339
6.57391,11.4999
6.74913,11.0948
6.85778,10.6236
6.89656,10.0922
6.8643,9.50832
6.94605,8.88106
7.00177,8.22181
6.98324,7.54488
6.89104,6.86865
6.72796,6.21719
6.49896,5.62222
6.21098,5.12443
5.87277,4.77149
5.49458,4.6084
5.27115,4.66015
5.31313,4.91849
5.68089,5.26138
6.03929,5.86943
6.35205,6.54252
6.60966,7.24508
6.80432,7.95088
6.9301,8.64029
6.9832,9.2983
7.10201,9.91311
7.27403,10.4752
7.36292,10.9768
7.366,11.4117
7.28315,11.7746
7.1169,12.0615
6.8723,12.2692
6.55676,12.3956
6.17987,12.4392
5.89163,12.3997
5.98569,12.2775
6.28162,12.0739
6.55599,11.7909
6.76903,11.4317
6.91426,11.0004
6.98728,10.502
6.98587,9.94276
6.91007,9.3304
6.89973,8.67431
6.9512,7.98615
6.92935,7.28076
6.83482,6.57747
6.6705,5.90214
6.44136,5.28978
6.15436,4.78652
5.81822,4.44703
5.44313,4.32121
5.17699,4.4311
5.31339,4.75733
5.58109,5.1293
5.93746,5.79073
6.24925,6.50721
6.50699,7.24403
6.70285,7.97633
6.83089,8.68578
6.88722,9.35842
6.97117,9.98325
7.18209,10.5514
7.31065,11.0555
7.35294,11.4898
7.30767,11.8492
7.17623,12.13
6.96259,12.3293
6.67326,12.4449
6.31699,12.4759
6.00406,12.4218
6.17876,12.2832
6.4563,12.0615
6.7086,11.7589
6.89289,11.3786
7.00359,10.9248
7.03733,10.4026
6.99309,9.81823
6.87222,9.17941
6.77663,8.49554
6.81668,7.77833
6.78545,7.04276
6.68389,6.30866
6.51507,5.60324
6.28413,4.96455
5.99807,4.4447
5.66558,4.10739
5.29674,4.01002
4.99982,4.17229
5.21986,4.56221
5.38389,4.96062
5.73255,5.67179
6.03948,6.42904
6.29534,7.19861
6.49239,7.95693
6.62463,8.68691
6.68805,9.37549
6.75115,10.0124
6.99928,10.5892
7.16723,11.0991
7.24988,11.5363
7.24474,11.8964
7.15195,12.1755
6.97434,12.3709
6.7173,12.4808
6.38862,12.5041
6.07987,12.4405
6.31141,12.2907
6.56564,12.056
6.79062,11.7389
6.94174,11.3425
7.01441,10.8709
7.00642,10.3291
6.91802,9.72343
6.75189,9.06138
6.5805,8.35214
6.60228,7.60716
6.55592,6.84116
6.44282,6.07387
6.26642,5.33302
6.03206,4.65891
5.74686,4.10967
5.41948,3.7602
5.05986,3.67943
4.75431,3.88649
5.03539,4.3349
5.09528,4.75685
5.43078,5.51377
5.72909,6.30887
5.98115,7.10935
6.17932,7.89296
6.31757,8.64366
6.39172,9.34923
6.44864,9.99996
6.73116,10.5879
6.93701,11.1065
7.05996,11.5504
7.09626,11.9149
7.04481,12.1968
6.90718,12.3931
6.68755,12.5022
6.39257,12.523
6.10888,12.4553
6.3796,12.2997
6.60631,12.0578
6.79958,11.7317
6.9141,11.3245
6.9464,10.8404
6.89549,10.2843
6.76293,9.66214
6.55274,8.98124
6.31729,8.25039
6.31452,7.48051
6.24773,6.68563
6.11895,5.88469
5.93207,5.10484
5.69279,4.38716
5.40835,3.79471
5.0874,3.41532
4.73967,3.33526
4.44707,3.57699
4.76557,4.07755
4.76244,4.51992
5.07736,5.31823
5.36011,6.148
5.60209,6.97738
5.79597,7.7853
5.93586,8.55669
6.01751,9.28007
6.07624,9.94621
6.38585,10.5475
6.62699,11.0777
6.78893,11.5315
