design name, Legal placement of GU-pairs, Direction of GC-pairs in multiloops, 1-1 Loop Energy V1, Tetraloop similarity, Loops & Stacks, Energy Limit in Tetraloops, Closing GC pairs in 3-1 internal loops, Eli Blue line, Mismatch, Clean plot  stack caps  and safe GC, No Blue Nucleotides in Hook Area, Direction of GC-pairs in multiloops + neckarea, Loop pattern for small multiloops, The 1-1 Loop V1, Berex Loop Basic, Repetition, Green and blue nucleotides a strand + Strong middle half, G's in place of the last A's on the right hand side of any end loop, Ding quad energy, Twisted Basepairs, JP-Stratmark, Eli Green line, Double AU-pair strategy, Tests by Region - boundaries, Multiloop similarity, No blue nucleotides in multiloop ring, Tests by Region - loops, Wrong Direction of GC-pairs in multiloops, Eli Red line, [Example] 60% of pairs should be GC pairs, Tetraloop Pattern, A basic test, Tetraloop blues, Only As in the loops, GC-pairs in junctions, Test by kkohli, Clean Dot Plot, Berex Test, Numbers of yellow nucleotides pr length of string, deivad's strategy, chemical reactivity score
BMG Cross v1.0, 78.977617, 89.058827, N/A, 60.000000, 83.004169, 75.090225, N/A, 100.000000, 89.872674, 71.046125, 94.217676, 89.058827, 83.567257, 80.000000, 80.000000, 76.758654, 100.000000, 81.000000, 77.089503, 98.000000, 73.310928, 100.000000, 100.000000, 98.000000, 98.949585, 100.000000, 71.000000, 89.920703, 84.689258, 72.387408, 84.953125, 90.581794, 100.000000, 81.000000, 82.764844, 85.323923, 99.921571, 76.237634, 92.589521, 70.448829, 63.000000
NUPACK design 01, 77.538970, 89.334365, N/A, 100.000000, 77.133279, 100.000000, N/A, 100.000000, 83.066406, 90.569967, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 85.429895, 87.360254, 80.000000, 100.000000, 92.000000, 78.132032, 69.026172, 100.000000, 98.000000, 98.949585, 100.000000, 54.000000, 94.960352, 69.378516, 89.377298, 84.953125, 82.093306, 100.000000, 84.000000, 100.000000, 100.000000, 99.966888, 77.266706, 92.589521, 83.781343, 95.000000
NUPACK design 03, 77.538970, 89.334365, N/A, 60.000000, 75.939539, 91.696742, N/A, 100.000000, 79.329180, 90.566673, 100.000000, 89.334365, 85.659576, 80.000000, 80.000000, 77.188000, 100.000000, 80.000000, 100.000000, 94.000000, 78.132032, 84.513086, 100.000000, 98.000000, 98.949585, 100.000000, 57.000000, 94.960352, 84.689258, 89.377298, 84.953125, 83.107977, 66.429297, 81.000000, 100.000000, 100.000000, 99.966008, 74.668474, 92.589521, 84.992629, 92.000000
NUPACK design 04, 77.538970, 89.334365, N/A, 0.000000, 82.655019, 91.696742, N/A, 100.000000, 78.130600, 88.779354, 100.000000, 89.334365, 85.659576, 80.000000, 80.000000, 75.696767, 100.000000, 80.000000, 98.071599, 95.000000, 78.132032, 100.000000, 100.000000, 98.000000, 97.899170, 100.000000, 57.000000, 94.960352, 100.000000, 98.200827, 84.953125, 94.188976, 100.000000, 82.000000, 100.000000, 100.000000, 99.958571, 77.747592, 100.000000, 80.352259, 97.000000
ViennaRNA design 01, 77.202220, 78.117653, N/A, 60.000000, 84.556232, 83.393483, N/A, 100.000000, 84.788808, 77.545923, 94.217676, 78.117653, 80.670468, 80.000000, 80.000000, 79.607276, 100.000000, 81.000000, 73.320074, 97.000000, 78.132032, 100.000000, 100.000000, 99.000000, 97.899170, 94.476074, 63.000000, 89.920703, 100.000000, 87.093290, 84.953125, 96.492164, 88.809766, 80.000000, 95.691211, 98.295498, 99.777903, 76.418148, 100.000000, 77.091326, 89.000000
ViennaRNA design 02, 83.061386, 89.334365, N/A, 100.000000, 83.626793, 75.090225, N/A, 87.809766, 84.148086, 74.348777, 94.217676, 89.334365, 85.659576, 80.000000, 80.000000, 71.447388, 87.360254, 80.000000, 67.534870, 97.000000, 74.917963, 100.000000, 100.000000, 100.000000, 83.193359, 94.476074, 62.000000, 94.960352, 84.689258, 72.387408, 84.953125, 83.942470, 88.809766, 81.000000, 91.382422, 86.113978, 99.863823, 77.829181, 100.000000, 77.014957, 83.000000
ViennaRNA design 03, 79.915840, 83.450471, N/A, 100.000000, 76.785046, 75.090225, N/A, 100.000000, 64.654346, 70.455920, 82.653027, 83.450471, 80.670468, 80.000000, 80.000000, 78.196237, 87.360254, 80.000000, 69.172877, 94.000000, 74.917963, 100.000000, 100.000000, 99.000000, 98.949585, 88.952148, 58.000000, 87.400879, 69.378516, 69.446232, 84.953125, 81.245674, 100.000000, 81.000000, 87.073633, 80.933829, 99.763981, 78.553832, 85.179042, 75.521673, 85.000000
ViennaRNA design 04, 90.458937, 89.334365, N/A, 60.000000, 85.658644, 75.090225, N/A, 100.000000, 72.949901, 77.822028, 88.435352, 89.334365, 84.050636, 80.000000, 80.000000, 72.468280, 100.000000, 80.000000, 71.347986, 95.000000, 74.917963, 100.000000, 100.000000, 100.000000, 98.949585, 94.476074, 58.000000, 94.960352, 84.689258, 78.269761, 84.953125, 91.382850, 100.000000, 80.000000, 87.073633, 96.590996, 99.851626, 75.587428, 100.000000, 72.994200, 92.000000
NUPACK design 05, 77.538970, 89.334365, N/A, 0.000000, 79.753754, 91.696742, N/A, 100.000000, 80.213289, 90.552172, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 86.489987, 87.360254, 82.000000, 80.352331, 91.000000, 78.132032, 53.539258, 100.000000, 97.000000, 96.848755, 100.000000, 19.000000, 94.960352, 54.067773, 92.318474, 84.953125, 82.071852, 100.000000, 81.000000, 95.691211, 100.000000, 99.962136, 66.819197, 70.358085, 81.809841, 80.000000
marmad, 86.996983, 89.334365, N/A, 100.000000, 94.586039, 100.000000, N/A, 100.000000, 80.882158, 92.350027, 100.000000, 89.334365, 85.659576, 80.000000, 80.000000, 87.026071, 100.000000, 83.000000, 86.501190, 97.000000, 79.739067, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000, 71.000000, 94.960352, 100.000000, 72.387408, 84.953125, 91.418994, 100.000000, 85.000000, 100.000000, 100.000000, 99.972387, 81.490704, 100.000000, 82.054234, 62.000000
Crossed Fingers 4, 73.641526, 89.334365, N/A, 100.000000, 90.167847, 100.000000, N/A, 100.000000, 82.051428, 85.287792, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 75.465214, 100.000000, 83.000000, 89.386250, 96.000000, 79.739067, 100.000000, 92.797168, 98.000000, 90.546265, 100.000000, 77.000000, 94.960352, 100.000000, 69.446232, 84.953125, 79.456926, 100.000000, 84.000000, 100.000000, 100.000000, 99.965879, 83.463711, 92.589521, 81.552942, 81.000000
d9_ChurchKey_One, 77.538970, 89.334365, N/A, 100.000000, 90.454378, 100.000000, N/A, 100.000000, 78.300232, 81.740391, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 84.524227, 100.000000, 83.000000, 95.418161, 94.000000, 78.132032, 100.000000, 92.797168, 100.000000, 98.949585, 100.000000, 70.000000, 94.960352, 100.000000, 84.152114, 84.953125, 80.206915, 100.000000, 88.000000, 100.000000, 91.714193, 99.958277, 86.104761, 100.000000, 84.543687, 78.000000
Fixing Rnd1 best., 76.822254, 89.334365, N/A, 60.000000, 83.012513, 100.000000, N/A, 100.000000, 79.779248, 81.753106, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 76.863597, 74.720508, 82.000000, 82.150973, 96.000000, 78.132032, 100.000000, 78.391504, 100.000000, 93.697510, 100.000000, 61.000000, 94.960352, 100.000000, 63.563879, 84.953125, 69.363804, 100.000000, 87.000000, 100.000000, 91.714193, 99.961672, 79.799812, 85.179042, 80.009526, 77.000000
Jeweled Jest, 89.893262, 89.334365, N/A, 60.000000, 92.230040, 91.696742, N/A, 100.000000, 74.584579, 85.296941, 100.000000, 89.334365, 85.659576, 80.000000, 80.000000, 85.896067, 87.360254, 80.000000, 86.501190, 95.000000, 78.132032, 100.000000, 78.391504, 99.000000, 96.848755, 100.000000, 49.000000, 94.960352, 100.000000, 72.387408, 100.000000, 82.367152, 100.000000, 92.000000, 100.000000, 91.714193, 99.968322, 84.583189, 100.000000, 83.001546, 99.000000
Mat cross design v2, 75.518444, 89.334365, N/A, 100.000000, 81.359470, 75.090225, N/A, 100.000000, 68.219270, 83.489883, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 83.181306, 100.000000, 80.000000, 81.657559, 97.000000, 78.132032, 100.000000, 85.594336, 100.000000, 98.949585, 100.000000, 65.000000, 94.960352, 100.000000, 60.622702, 100.000000, 57.668569, 100.000000, 91.000000, 100.000000, 88.602229, 99.955614, 80.000758, 77.768563, 80.225796, 95.000000
BMG Cross 2.0, 72.249365, 77.566577, N/A, 0.000000, 43.182486, 75.090225, N/A, 100.000000, 82.687766, 62.152197, 100.000000, 77.566577, 77.290300, 80.000000, 80.000000, 72.924171, 100.000000, 81.000000, 69.854226, 99.000000, 73.310928, 100.000000, 100.000000, 100.000000, 97.899170, 100.000000, 51.000000, 79.841406, 100.000000, 48.857996, 84.953125, 62.741740, 100.000000, 79.000000, 87.073633, 68.710712, 99.895778, 77.725286, 85.179042, 64.478316, 65.000000
Extra GUs + Modified tips, 70.004543, 77.566577, N/A, 100.000000, 23.186584, 75.090225, N/A, 87.809766, 66.723407, 55.082386, 94.217676, 77.566577, 77.290300, 80.000000, 80.000000, 86.680546, 100.000000, 80.000000, 49.120140, 92.000000, 73.310928, 100.000000, 78.391504, 99.000000, 98.949585, 100.000000, 69.000000, 79.841406, 84.689258, 37.093290, 89.968750, 45.483831, 88.809766, 88.000000, 82.764844, 53.719937, 99.417455, 58.914467, 70.358085, 72.555381, 49.000000
JestersDaughter1, 88.934830, 89.334365, 83.492505, 60.000000, 99.747708, 91.696742, N/A, 100.000000, 77.707174, 84.398162, 100.000000, 89.334365, 85.659576, 82.483287, 81.672033, 88.477544, 87.360254, 80.000000, 88.429591, 97.000000, 79.739067, 100.000000, 92.797168, 99.000000, 97.899170, 100.000000, 49.000000, 94.960352, 100.000000, 76.665483, 89.968750, 90.368890, 100.000000, 88.000000, 100.000000, 100.000000, 99.916257, 83.845171, 100.000000, 88.122218, 83.000000
bulged cross-1, 79.859758, 89.334365, 80.000000, 60.000000, 69.432994, 83.393483, N/A, 100.000000, 64.010611, 70.506774, 100.000000, 89.334365, 84.050636, 82.675097, 80.000000, 92.429625, 100.000000, 80.000000, 69.360812, 97.000000, 76.524997, 100.000000, 100.000000, 98.000000, 100.000000, 100.000000, 49.000000, 94.960352, 100.000000, 58.483665, 100.000000, 46.126424, 100.000000, 92.000000, 82.764844, 82.737884, 99.965476, 77.260282, 55.537127, 79.390860, 86.000000
Bulgy 103, 98.880255, 89.334365, 80.000000, 100.000000, 97.058177, 100.000000, N/A, 100.000000, 81.025492, 84.562383, 100.000000, 89.334365, 84.050636, 80.000000, 80.000000, 80.426768, 100.000000, 80.000000, 90.357993, 98.000000, 79.739067, 100.000000, 100.000000, 98.000000, 97.899170, 100.000000, 64.000000, 94.960352, 100.000000, 76.665483, 84.953125, 90.902927, 100.000000, 84.000000, 100.000000, 100.000000, 99.960106, 80.522289, 100.000000, 88.383135, 82.000000
OccamRazor, 87.407433, 89.334365, 80.000000, 60.000000, 95.562137, 91.696742, N/A, 100.000000, 74.395088, 83.161302, 100.000000, 89.334365, 85.659576, 82.675097, 80.000000, 82.911788, 87.360254, 80.000000, 71.435360, 96.000000, 79.739067, 100.000000, 85.594336, 99.000000, 96.848755, 100.000000, 49.000000, 94.960352, 100.000000, 76.665483, 100.000000, 86.255764, 100.000000, 92.000000, 95.691211, 91.714193, 99.961839, 86.213005, 100.000000, 87.550809, 86.000000
Mat Bulge cross (relook at 102), 83.137404, 89.334365, 83.492505, 60.000000, 91.793958, 91.696742, N/A, 100.000000, 73.148844, 83.193940, 100.000000, 89.334365, 85.659576, 82.483287, 81.672033, 82.600041, 100.000000, 80.000000, 92.271309, 100.000000, 79.739067, 100.000000, 100.000000, 100.000000, 98.949585, 100.000000, 62.000000, 94.960352, 100.000000, 70.604877, 100.000000, 68.861281, 100.000000, 90.000000, 100.000000, 91.714193, 99.970553, 83.228764, 85.179042, 85.430624, 89.000000
Very Best of Three Designs, 89.702583, 89.334365, 80.000000, 60.000000, 96.414504, 83.393483, N/A, 100.000000, 75.914029, 84.592728, 100.000000, 89.334365, 85.659576, 82.675097, 80.000000, 72.989915, 100.000000, 80.000000, 90.357993, 97.000000, 79.739067, 100.000000, 92.797168, 99.000000, 97.899170, 100.000000, 50.000000, 94.960352, 100.000000, 76.665483, 100.000000, 83.846218, 100.000000, 92.000000, 100.000000, 91.714193, 99.968208, 85.519980, 100.000000, 86.806592, 87.000000
Grom 103  v2., 89.072048, 89.334365, 80.000000, 0.000000, 95.540524, 83.393483, N/A, 100.000000, 76.237402, 84.218958, 94.217676, 89.334365, 84.050636, 82.675097, 80.000000, 76.824398, 74.720508, 80.000000, 71.435360, 96.000000, 79.739067, 100.000000, 100.000000, 98.000000, 96.848755, 100.000000, 73.000000, 94.960352, 69.378516, 76.665483, 84.953125, 86.702807, 100.000000, 80.000000, 95.691211, 97.808789, 99.868408, 76.163190, 100.000000, 83.245156, 77.000000
-45.5 kCal 107 M.P., 79.859758, 100.000000, 83.492505, 100.000000, 92.247277, 100.000000, N/A, 100.000000, 77.403660, 86.012246, 100.000000, 100.000000, 85.659576, 82.483287, 81.672033, 83.466509, 87.360254, 80.000000, 98.549928, 98.000000, 81.346101, 100.000000, 100.000000, 99.000000, 100.000000, 100.000000, 65.000000, 89.920703, 100.000000, 82.726089, 100.000000, 80.302437, 100.000000, 89.000000, 100.000000, 91.714193, 99.971397, 84.314443, 100.000000, 84.985696, 94.000000
NUPACK design 01, 79.859758, 89.334365, 80.000000, 0.000000, 82.508063, 83.393483, N/A, 100.000000, 76.955099, 90.167911, 100.000000, 89.334365, 85.659576, 80.000000, 80.000000, 86.064250, 87.360254, 81.000000, 100.000000, 93.000000, 81.346101, 84.513086, 100.000000, 96.000000, 100.000000, 100.000000, 60.000000, 94.960352, 84.689258, 93.031487, 84.953125, 90.274482, 100.000000, 80.000000, 100.000000, 100.000000, 99.953494, 76.743001, 100.000000, 82.734703, 91.000000
NUPACK design 02, 79.859758, 89.334365, 80.000000, 60.000000, 89.098197, 100.000000, N/A, 100.000000, 77.234028, 88.786278, 100.000000, 89.334365, 85.659576, 80.000000, 80.000000, 76.189483, 87.360254, 80.000000, 92.764723, 93.000000, 79.739067, 100.000000, 85.594336, 98.000000, 93.697510, 100.000000, 52.000000, 94.960352, 100.000000, 97.877604, 84.953125, 97.370122, 100.000000, 82.000000, 100.000000, 100.000000, 99.960420, 80.090865, 92.589521, 84.687622, 94.000000
